respondentID,Owners,AreaType,HistoricalBuilding,ROOFsunlight,HPrenovation,PrivateParking,OWNconventionalcar,OWNhybridcar,OWNelectriccar,OWNsolarsystem,OWNthermal,OWNheatpump,OWNstoragebattery,FutureNOcar,WhenConventionalCar,WhenHeV,EVWoMowners,VoiturePrincipale,CarPurchaseFrequency,WhenThermique,HPWoMowners,PVWoMowners,BatteryOWNERS_r1,Battery_installation,CarSize,neighboordhood_r2,PVPROBben_savings.x,PVPROBben_independence.x,PVPROBben_environment.x,PVPROBben_collectiveAction.x,PVPROBrisks_highInvestCost.x,PVPROBrisks_lowReturnOnInvestment.x,HPPROBben_savings.x,HPPROBben_environment.x,HPPROBben_collectiveAction.x,HPPROBrisks_highInvestCost.x,HPPROBrisks_lowReturnOnInvestment.x,EVPROBben_savings,EVPROBben_independence,EVPROBben_environment,EVPROBben_collectiveAction,EVPROBrisks_highInvestCost,EVPROBrisks_lowReturnOnInvestment,NegEmotionsCC,PosEmotionsCC,PVEmotion.x,EVEmotion,PVIntercept,PVInvCost,PVNetBill,PVGHG,PVSelfsuff,PVPeers,PVPROBben_savings.y,PVPROBben_independence.y,PVPROBben_environment.y,PVPROBben_collectiveAction.y,PVPROBrisks_highInvestCost.y,PVPROBrisks_lowReturnOnInvestment.y,PVEmotion.y,PVNegEmotionsCC,PVPosEmotionsCC,PVOWNelectriccar,PVOWNheatpump,sEVIntercept,sEVInvCost,sEVSavings,sEVGHG,sEVRange,sEVPeers,sEVPROBben_savings,sEVPROBben_independence,sEVPROBben_environment,sEVPROBben_collectiveAction,sEVPROBrisks_highInvestCost,sEVPROBrisks_lowReturnOnInvestment,sEVEmotion,sEVNegEmotionsCC,sEVPosEmotionsCC,sEVOWNsolarpanels,sEVOWNheatpump,mEVIntercept,mEVInvCost,mEVSavings,mEVGHG,mEVRange,mEVPeers,mEVPROBben_savings,mEVPROBben_independence,mEVPROBben_environment,mEVPROBben_collectiveAction,mEVPROBrisks_highInvestCost,mEVPROBrisks_lowReturnOnInvestment,mEVEmotion,mEVNegEmotionsCC,mEVPosEmotionsCC,mEVOWNsolarpanels,mEVOWNheatpump,lEVIntercept,lEVInvCost,lEVSavings,lEVGHG,lEVRange,lEVPeers,lEVPROBben_savings,lEVPROBben_independence,lEVPROBben_environment,lEVPROBben_collectiveAction,lEVPROBrisks_highInvestCost,lEVPROBrisks_lowReturnOnInvestment,lEVEmotion,lEVNegEmotionsCC,lEVPosEmotionsCC,lEVOWNsolarpanels,lEVOWNheatpump,HPIntercept,HPInvCost,HPSavings,HPGHG,HPPeers,HPPROBben_savings.y,HPPROBben_environment.y,HPPROBben_collectiveAction.y,HPPROBrisks_highInvestCost.y,HPPROBrisks_lowReturnOnInvestment.y,HPEmotion.y,HPNegEmotionsCC,HPPosEmotionsCC,HPOWNelectriccar,HPOWNsolarpanels,emoPVposWOM,emoPVnegWOM,emoHPposWOM,emoHPnegWOM,emoEVposWOM,emoEVnegWOM
86,1,suburban,Yes,Yes,I don't know,Not,1,0,0,0,0,0,0, ,2015, , ,ConventionalCAR,every 12 years or when needed, , , , ,Yes,Medium car,2,1,0.833333333,0.666666667,0.5,0.833333333,0.333333333,0.666666667,1,0.666666667,0.5,0.333333333,0.666666667,0.166666667,0.666666667,0.5,1,0.5,0.738095238,0.055555556,1,0.58,0.505173095,-0.320287201,0.00321812,-0.059806277,7.173665523,0.240110242,1.069849741,0.182137167,0.627185034,1.213393704,-1.064254834,-0.475503789,0.433814273,0.039795865,0.201291911,0.740788254,-0.232731592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.182346804,-0.154463875,0.075583999,-0.05304949,0.846312672,0.556374781,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.055400287,-0.228936203,0.46861547,-0.294087182,1.581026388,3.153792289,2.289863379,-0.297357579,-1.66821826,0.182380349,1.614212581,1.090699657,-0.036396201,0.764293046,-0.003157494,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
87,0,urban,Yes,Yes,1980-1989,Not,0,0,0,0,0,0,0, , , , , , , , , , ,Yes,Small car,6,0.833333333,0.833333333,1,1,1,0.666666667,0.666666667,0.5,0.5,0.666666667,0.333333333,0.833333333,0.666666667,0.666666667,0.833333333,0.833333333,0.333333333,0.785714286,0,0.37,0.72,-1.069728814,-0.240281488,0.000821181,-0.048675249,5.607230805,0.600623098,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,4.523892962,-0.180891964,0.107384223,-0.155553033,0.725452048,0.619693933,1.90558475,1.02553557,1.796615369,0.190167183,-1.076068181,0.107928073,0.668465529,0.726193125,-0.759835072,0.002130821,0.353338683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.141255016,-0.44083282,0.693372184,-0.185144324,0.354392969,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
89,1,rural,Not,Yes,2010-2019,Yes,1,0,0,0,0,1,0, ,2016, , ,ConventionalCAR,every 8 years, ,PositiveFeedback, , ,Not,Medium car,7,0.666666667,0.833333333,0.833333333,0.833333333,0.666666667,0.833333333,NA,NA,NA,NA,NA,0.333333333,0,0.333333333,1,0.833333333,0.833333333,0.738095238,0.388888889,1,0.6,-1.146398311,-0.1411732,0.000216383,-0.026103668,8.319139428,0.478703347,1.069849741,0.182137167,0.627185034,1.213393704,-1.064254834,-0.475503789,0.433814273,0.039795865,0.201291911,0.740788254,-0.232731592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.181236141,-0.110211242,0.046740672,-0.069171661,1.166085672,0.441504708,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
91,0,urban,Not,Yes,2010-2019,Yes,1,0,0,0,0,0,0, ,2022, , ,ConventionalCAR,every 12 years or when needed, , , , ,Not,Medium car,7,1,1,1,1,0.166666667,0.166666667,0.833333333,0.833333333,0.833333333,0.166666667,0.166666667,0.833333333,0,0.5,0,0.833333333,0.833333333,0.095238095,0.833333333,0.7,0.39,-0.346778748,-0.114557057,0.001546243,-0.033388551,6.403190568,0.871253679,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.184575495,-0.064874386,0.124486841,-0.114522763,0.632801803,0.327229807,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.710103473,-0.201890976,0.312923854,-0.100411488,1.726379269,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
92,1,suburban,Not,Yes,2010-2019,Yes,1,0,0,0,1,1,0, ,2018, , ,ConventionalCAR,every 4 years,2012,PositiveFeedback, , ,Yes,Medium car,4,0.5,0.833333333,0.333333333,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0,0.666666667,0.666666667,0.5,0.5,0.595238095,0.444444444,0.76,0.82,-0.051917046,-0.173803525,0.00221634,-0.047705682,8.25297702,0.418949876,1.069849741,0.182137167,0.627185034,1.213393704,-1.064254834,-0.475503789,0.433814273,0.039795865,0.201291911,0.740788254,-0.232731592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160752634,-0.063875393,0.105617888,-0.087395388,0.480202852,0.548482185,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
93,0,urban,Not,Yes,I don't know,Yes,1,0,0,0,0,0,0, ,2020, , ,ConventionalCAR,every 12 years or when needed, , , , ,Yes,Medium car,3,0.666666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.166666667,0.166666667,0.833333333,0.5,0.5,0.833333333,0.476190476,0,0.75,0.75,-1.476944157,-0.363343374,0.002052965,0.00202081,5.938631664,0.766106012,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.180928353,-0.110026814,0.133344583,-0.088697687,0.376801683,0.482744274,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.163543859,-0.669090621,0.574099338,-0.017632572,0.931466499,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
94,0,rural,Not,Not,1980-1989,Yes,1,0,0,0,0,0,0, ,2019, , ,ConventionalCAR,every 4 years, , , , ,Not,Medium car,7,0.833333333,0.833333333,0.666666667,0.833333333,0.666666667,0.666666667,0.833333333,0.666666667,0.5,0.166666667,0.333333333,0.666666667,0.5,0.833333333,0.833333333,0.666666667,0.5,0.285714286,0.277777778,1,0.7,-1.461509538,-0.256108071,0.000165526,-0.013252217,5.973864181,0.666362901,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.153599581,-0.105376963,0.097673017,-0.056265982,0.453170213,0.798754488,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134517877,-0.422426278,0.643100351,-0.139427551,1.46288308,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
97,0,suburban,Not,Yes,I don't know,Yes,1,0,0,0,0,0,0, ,2017, , ,ConventionalCAR,every 12 years or when needed, , , , ,Not,Medium car,5,0.333333333,0.666666667,0.333333333,0.333333333,0.833333333,0.833333333,0.666666667,0.333333333,0.166666667,0.666666667,0.333333333,0.166666667,0,0.666666667,0.5,1,1,0.642857143,0.111111111,0.26,0.17,-1.097001071,-0.264230712,0.003510401,-0.006246676,6.224787608,1.213954351,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.180594786,-0.112590022,0.115930684,-0.083026033,0.524433855,0.479254539,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.671315141,-0.588283655,0.562922145,-0.026824579,1.371363534,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
98,1,rural,Yes,Yes,2010-2019,Yes,1,0,0,1,0,0,0, ,2009, , ,ConventionalCAR,every 12 years or when needed, , ,PositiveFeedback,Not, ,Medium car,4,NA,NA,NA,NA,NA,NA,0.333333333,0.5,0.5,0.666666667,0.833333333,0.166666667,0.333333333,0.833333333,0.666666667,1,0.666666667,0.428571429,0.111111111,0.92,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17437442,-0.101471855,0.144826748,-0.089482778,0.209746068,0.528281857,1.175740122,0.607893547,1.039067853,0.215500287,-1.014752689,-0.520960791,1.449335409,0.289788546,-0.075828949,0.539662865,0.065356628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.891570244,-0.270678641,0.006077695,-0.230296362,0.940543692,3.153792289,2.289863379,-0.297357579,-1.66821826,0.182380349,1.614212581,1.090699657,-0.036396201,0.764293046,-0.003157494,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
99,0,urban,Not,Yes,1980-1989,Not,0,0,0,0,0,0,0, , , , , , , , , , ,Yes,Small car,2,0.666666667,0.666666667,1,1,0.5,0.166666667,0.333333333,0.833333333,0.833333333,0.833333333,0.5,0.333333333,0.166666667,0.666666667,0.5,0.5,0.333333333,0.642857143,0.055555556,1,0.51,-0.426540326,-0.136571301,0.001785281,-0.028313244,6.433384819,0.840639836,1.632934187,0.466730152,0.446159622,0.454964248,-1.004674468,0.122483512,1.09108428,1.228351355,0.320619746,0.052868224,0.012972668,2.537134149,-0.028003804,0.062058047,-0.057270925,0.404086707,0.276596773,1.90558475,1.02553557,1.796615369,0.190167183,-1.076068181,0.107928073,0.668465529,0.726193125,-0.759835072,0.002130821,0.353338683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.585784211,-0.180093502,0.466575738,-0.123048955,2.004535038,3.49177582,2.161598038,-0.885443352,-0.970680476,-0.188559868,1.647800162,1.210711697,0.219153083,-0.23124374,0.278823238,0.0557,-0.0621,0.063,-0.0705,0.068,-0.0771
